City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Ilulissat,GL,9/27/2022 18:54,69.2167,-51.1,37.29,99,100,5.3
97,Kalmunai,LK,9/27/2022 18:54,7.4167,81.8167,80.33,76,39,1.36
98,Laguna,US,9/27/2022 18:54,38.421,-121.4238,87.01,51,0,6.91
99,Syamzha,RU,9/27/2022 18:54,60.0158,41.0614,43.03,97,100,6.76
100,Vojens,DK,9/27/2022 18:54,55.2464,9.306,49.57,93,0,1.14
101,Benghazi,LY,9/27/2022 18:54,32.1167,20.0667,83.84,54,11,6.35
102,Valdagno,IT,9/27/2022 18:54,45.6483,11.3064,61.5,78,0,4
103,Maromitsa,RU,9/27/2022 18:54,59.8683,48.0123,38.1,75,100,5.48
104,Lasalgaon,IN,9/27/2022 18:54,20.15,74.2333,73.76,83,97,6.42
105,Butembo,CD,9/27/2022 18:54,0.15,29.2833,58.75,96,100,2.91
106,Upernavik,GL,9/27/2022 18:54,72.7868,-56.1549,35.83,97,100,7.85
107,Kavaratti,IN,9/27/2022 18:50,10.5669,72.642,82.04,73,95,14.85
108,Alakurtti,RU,9/27/2022 18:54,66.9672,30.3491,42.31,96,100,6.2
109,Kayes,ML,9/27/2022 18:54,14,-11,84.02,65,6,4.81
110,Edd,ER,9/27/2022 18:54,13.9297,41.6925,91.98,61,1,8.7
111,Oktyabrskoye,RU,9/27/2022 18:52,43.0645,44.7417,50.14,93,22,8.95
112,San Cristobal,VE,9/27/2022 18:54,7.7669,-72.225,82.58,41,98,5.32
113,Cidreira,BR,9/27/2022 18:54,-30.1811,-50.2056,67.08,69,100,13.78
114,Arraial Do Cabo,BR,9/27/2022 18:54,-22.9661,-42.0278,80.56,73,40,11.5
115,Chapais,CA,9/27/2022 18:54,49.7834,-74.8492,55.18,72,100,3.11
116,Barra Dos Coqueiros,BR,9/27/2022 18:50,-10.9089,-37.0386,82.42,61,75,9.22
117,Thompson,CA,9/27/2022 18:51,55.7435,-97.8558,53.76,50,75,6.91
118,Stilfontein,ZA,9/27/2022 18:54,-26.8449,26.7683,72.64,22,97,7.99
119,Pietarsaari,FI,9/27/2022 18:54,63.65,22.6833,48,85,100,8.55
120,Rio Grande,BR,9/27/2022 18:54,-32.035,-52.0986,75.31,76,0,15.35
121,Ancud,CL,9/27/2022 18:54,-41.8697,-73.8203,60.22,64,0,3.85
122,Ayagoz,KZ,9/27/2022 18:54,47.9714,80.4392,54.55,38,100,5.19
123,Inta,RU,9/27/2022 18:54,66.0317,60.1659,27.73,73,5,5.66
124,Harper,LR,9/27/2022 18:54,4.375,-7.7169,76.39,89,61,7.34
125,Surt,LY,9/27/2022 18:54,31.2089,16.5887,81.61,74,2,9.93
126,Priekule,LV,9/27/2022 18:54,56.4468,21.5897,51.12,74,100,10.85
127,Puerto Leguizamo,CO,9/27/2022 18:54,-0.1934,-74.7819,97.41,34,59,0.6
128,Polunochnoye,RU,9/27/2022 18:54,60.8697,60.4153,25.52,84,96,4.16
129,Zdvinsk,RU,9/27/2022 18:54,54.7021,78.661,33.94,98,100,13.22
130,Braganca,BR,9/27/2022 18:54,-1.0536,-46.7656,86.65,57,85,8.12
131,Conde,BR,9/27/2022 18:52,-7.2597,-34.9075,81.86,61,40,19.57
132,Nantucket,US,9/27/2022 18:54,41.2835,-70.0995,75.31,60,12,14.41
133,Kyzyl-Suu,KG,9/27/2022 18:55,42.3414,78.0056,53.98,42,0,3.31
134,Acarau,BR,9/27/2022 18:56,-2.8856,-40.12,83.5,65,0,20.85
