City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Jalu,LY,29.0331,21.5482,66.87,57,0,7.87,clear sky
158,Kokologo,BF,12.1897,-1.8856,73.26,67,13,5.12,few clouds
159,Dingle,PH,10.9995,122.6711,84.22,79,35,6.78,scattered clouds
160,Breytovo,RU,58.2993,37.8617,49.93,85,35,14.61,scattered clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,87,100,20.71,overcast clouds
162,Rawson,AR,-43.3002,-65.1023,52.27,58,73,7.18,broken clouds
163,Dunda,TZ,-8.1167,34.25,61.03,60,24,3.96,few clouds
164,Hambantota,LK,6.1241,81.1185,73.74,100,20,2.3,few clouds
165,Buritis,BR,-15.6178,-46.4233,82.63,42,95,2.17,overcast clouds
166,Viedma,AR,-40.8135,-62.9967,52.56,34,5,5.84,clear sky
167,Jalingo,NG,8.8833,11.3667,71.67,96,100,2.33,overcast clouds
168,Kedrovyy,RU,56.1667,91.8167,32.41,96,100,2.64,overcast clouds
169,Goderich,CA,43.7501,-81.7165,61.12,88,100,11.5,overcast clouds
170,Mehamn,NO,71.0357,27.8492,44.55,81,100,24.16,overcast clouds
171,Carnarvon,AU,-24.8667,113.6333,64.76,46,0,22.93,clear sky
172,Ballina,AU,-28.8667,153.5667,72.79,79,44,13.35,scattered clouds
173,Cockburn Town,TC,21.4612,-71.1419,83.03,74,60,15.55,broken clouds
174,Ponta Delgada,PT,37.7333,-25.6667,69.49,82,20,2.3,few clouds
175,Bodden Town,KY,19.2833,-81.25,84.2,81,20,12.66,few clouds
176,Asilah,MA,35.465,-6.0348,73.36,78,48,18.21,scattered clouds
177,Gap,FR,44.6667,6.0,39.83,86,20,2.59,few clouds
178,Abha,SA,18.2164,42.5053,66.02,30,0,0.0,clear sky
179,Djambala,CG,-2.5447,14.7533,67.1,94,100,1.66,light rain
180,Surgut,RU,61.25,73.4167,42.98,100,20,8.99,few clouds
181,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,91,100,15.82,overcast clouds
182,Segou,ML,13.4317,-6.2157,79.0,65,51,6.08,broken clouds
183,Brandfort,ZA,-28.7001,26.4597,53.01,28,94,6.93,overcast clouds
184,Atakpame,TG,7.5333,1.1333,70.56,99,100,3.49,light rain
185,Nuuk,GL,64.1835,-51.7216,31.87,82,94,1.01,overcast clouds
186,Aswan,EG,24.0934,32.907,82.36,33,26,13.42,scattered clouds
187,Bajil,YE,15.0584,43.2851,86.72,66,94,1.48,overcast clouds
188,Brae,GB,60.3964,-1.353,52.88,87,100,26.57,light rain
189,Victoria,HK,22.2855,114.1577,86.38,76,41,10.0,scattered clouds
190,Necochea,AR,-38.5473,-58.7368,49.12,87,4,8.39,clear sky
191,Marsh Harbour,BS,26.5412,-77.0636,78.76,67,12,13.56,few clouds
192,Lichtenburg,ZA,-26.152,26.1597,68.29,26,4,11.18,clear sky
193,Gantt,US,34.8001,-82.4243,67.82,75,0,0.0,clear sky
194,Sasovo,RU,54.3537,41.9199,49.1,90,89,1.01,overcast clouds
195,Thompson,CA,55.7435,-97.8558,33.96,55,20,5.75,few clouds
196,Hurghada,EG,27.2574,33.8129,80.64,50,0,8.05,clear sky
197,Ust-Ishim,RU,57.6935,71.1665,45.99,53,100,7.43,overcast clouds
198,Grand Gaube,MU,-20.0064,57.6608,69.39,71,1,3.0,clear sky
199,Ugoofaaru,MV,5.6667,73.0,81.73,72,9,16.08,clear sky
200,Pokhara,NP,28.2333,83.9833,67.75,89,99,4.68,moderate rain
201,Falesti,MD,47.5736,27.7092,56.46,85,84,4.92,broken clouds
202,Orcopampa,PE,-15.2661,-72.3417,45.73,21,0,5.53,clear sky
203,Taoudenni,ML,22.6783,-3.9836,95.02,19,91,5.77,overcast clouds
204,Gopalpur,IN,19.2667,84.9167,80.58,82,100,1.86,overcast clouds
205,Semnan,IR,35.5729,53.3971,65.55,44,0,5.77,clear sky
206,Usevya,TZ,-7.1,31.2333,71.83,39,75,12.33,broken clouds
207,Harper,LR,4.375,-7.7169,75.92,89,98,6.2,overcast clouds
208,Loiza,PR,18.4313,-65.8802,83.07,81,40,5.75,scattered clouds
209,Coruripe,BR,-10.1256,-36.1756,75.13,87,11,9.28,few clouds
210,Thinadhoo,MV,0.5333,72.9333,81.34,77,55,18.97,broken clouds
211,Mandali,IQ,33.7499,45.5541,87.03,11,0,7.23,clear sky
